model,dataset,sample_id,num_steps
gpt-4o-mini,social_chem_101,pilot_1002,4
gpt-4o-mini,social_chem_101,pilot_1003,5
gpt-4o-mini,social_chem_101,pilot_1004,4
gpt-4o-mini,social_chem_101,pilot_1005,4
gpt-4o-mini,social_chem_101,pilot_1006,4
gpt-4o-mini,social_chem_101,pilot_1007,4
gpt-4o-mini,social_chem_101,pilot_1008,5
gpt-4o-mini,social_chem_101,pilot_1009,4
gpt-4o-mini,social_chem_101,pilot_1010,4
gpt-4o-mini,social_chem_101,pilot_1011,4
gpt-4o-mini,social_chem_101,pilot_1012,4
gpt-4o-mini,social_chem_101,pilot_1013,4
gpt-4o-mini,social_chem_101,pilot_1014,5
gpt-4o-mini,social_chem_101,pilot_1015,4
gpt-4o-mini,social_chem_101,pilot_1016,5
gpt-4o-mini,social_chem_101,pilot_1017,4
gpt-4o-mini,social_chem_101,pilot_1018,4
gpt-4o-mini,social_chem_101,pilot_1019,4
gpt-4o-mini,social_chem_101,pilot_1020,4
gpt-4o-mini,social_chem_101,pilot_1021,4
gpt-4o-mini,social_chem_101,pilot_1022,4
gpt-4o-mini,social_chem_101,pilot_1023,5
gpt-4o-mini,social_chem_101,pilot_1024,4
gpt-4o-mini,social_chem_101,pilot_1025,4
gpt-4o-mini,social_chem_101,pilot_1026,4
gpt-4o-mini,social_chem_101,pilot_1027,4
gpt-4o-mini,social_chem_101,pilot_1028,4
gpt-4o-mini,social_chem_101,pilot_1029,4
gpt-4o-mini,social_chem_101,pilot_1030,4
gpt-4o-mini,social_chem_101,pilot_1031,4
gpt-4o-mini,social_chem_101,pilot_1032,4
gpt-4o-mini,social_chem_101,pilot_1033,4
gpt-4o-mini,social_chem_101,pilot_1034,4
gpt-4o-mini,social_chem_101,pilot_1035,4
gpt-4o-mini,social_chem_101,pilot_1036,4
gpt-4o-mini,social_chem_101,pilot_1037,4
gpt-4o-mini,social_chem_101,pilot_1038,5
gpt-4o-mini,social_chem_101,pilot_1039,4
gpt-4o-mini,social_chem_101,pilot_1040,4
gpt-4o-mini,social_chem_101,pilot_1041,4
gpt-4o-mini,social_chem_101,pilot_1042,4
gpt-4o-mini,social_chem_101,pilot_1043,4
gpt-4o-mini,social_chem_101,pilot_1044,4
gpt-4o-mini,social_chem_101,pilot_1045,4
gpt-4o-mini,social_chem_101,pilot_1046,4
gpt-4o-mini,social_chem_101,pilot_1047,4
gpt-4o-mini,social_chem_101,pilot_1048,4
gpt-4o-mini,social_chem_101,pilot_1049,4
gpt-4o-mini,social_chem_101,pilot_1050,4
gpt-4o-mini,social_chem_101,pilot_1051,4
gpt-4o-mini,social_chem_101,pilot_1052,4
gpt-4o-mini,social_chem_101,pilot_1053,4
gpt-4o-mini,social_chem_101,pilot_1054,4
gpt-4o-mini,social_chem_101,pilot_1055,4
gpt-4o-mini,social_chem_101,pilot_1056,4
gpt-4o-mini,social_chem_101,pilot_1057,4
gpt-4o-mini,social_chem_101,pilot_1058,4
gpt-4o-mini,social_chem_101,pilot_1059,5
gpt-4o-mini,social_chem_101,pilot_1060,4
gpt-4o-mini,social_chem_101,pilot_1061,4
gpt-4o-mini,social_chem_101,pilot_1062,4
gpt-4o-mini,social_chem_101,pilot_1063,4
gpt-4o-mini,social_chem_101,pilot_1064,4
gpt-4o-mini,social_chem_101,pilot_1065,4
gpt-4o-mini,social_chem_101,pilot_1066,4
gpt-4o-mini,social_chem_101,pilot_1067,4
gpt-4o-mini,social_chem_101,pilot_1068,5
gpt-4o-mini,social_chem_101,pilot_1069,4
gpt-4o-mini,social_chem_101,pilot_1070,4
gpt-4o-mini,social_chem_101,pilot_1071,4
gpt-4o-mini,social_chem_101,pilot_1072,4
gpt-4o-mini,social_chem_101,pilot_1073,4
gpt-4o-mini,social_chem_101,pilot_1074,4
gpt-4o-mini,social_chem_101,pilot_1075,4
gpt-4o-mini,social_chem_101,pilot_1076,4
gpt-4o-mini,social_chem_101,pilot_1077,4
gpt-4o-mini,social_chem_101,pilot_1078,4
gpt-4o-mini,social_chem_101,pilot_1079,4
gpt-4o-mini,social_chem_101,pilot_1080,4
gpt-4o-mini,social_chem_101,pilot_1081,4
gpt-4o-mini,social_chem_101,pilot_1082,4
gpt-4o-mini,social_chem_101,pilot_1083,4
gpt-4o-mini,social_chem_101,pilot_1084,4
gpt-4o-mini,social_chem_101,pilot_1085,4
gpt-4o-mini,social_chem_101,pilot_1086,4
gpt-4o-mini,social_chem_101,pilot_1087,4
gpt-4o-mini,social_chem_101,pilot_1088,5
gpt-4o-mini,social_chem_101,pilot_1089,4
gpt-4o-mini,social_chem_101,pilot_1090,4
gpt-4o-mini,social_chem_101,pilot_1091,5
gpt-4o-mini,social_chem_101,pilot_1092,4
gpt-4o-mini,social_chem_101,pilot_1093,4
gpt-4o-mini,social_chem_101,pilot_1094,4
gpt-4o-mini,social_chem_101,pilot_1095,4
gpt-4o-mini,social_chem_101,pilot_1096,4
gpt-4o-mini,social_chem_101,pilot_1097,4
gpt-4o-mini,social_chem_101,pilot_1098,4
gpt-4o-mini,social_chem_101,pilot_1099,4
gpt-5,ethics,pilot_0000,6
gpt-5,ethics,pilot_0001,5
gpt-5,ethics,pilot_0002,6
