sample_id,model,model_label_in_source,source_label_was_correct,median_rating
pilot_0755,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,35
pilot_0989,Qwen/Qwen2.5-72B-Instruct-Turbo,llama,False,58
pilot_0908,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,35
pilot_0321,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_0636,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,35
pilot_0762,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_0977,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,52
pilot_0396,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,72
pilot_0490,Qwen/Qwen2.5-72B-Instruct-Turbo,llama,False,32
pilot_1466,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_0993,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,45
pilot_1186,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,35
pilot_0236,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,92
pilot_0337,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,45
pilot_0819,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,62
pilot_0699,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,92
pilot_1485,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,35
pilot_1142,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,60
pilot_0959,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,58
pilot_0407,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,92
pilot_0770,Qwen/Qwen2.5-72B-Instruct-Turbo,llama,False,35
pilot_0213,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,55
pilot_1123,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,32
pilot_0270,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,55
pilot_0233,Qwen/Qwen2.5-72B-Instruct-Turbo,llama,False,52
pilot_1304,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,35
pilot_1328,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,68
pilot_0906,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,32
pilot_0619,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,68
pilot_0230,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,32
pilot_0652,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_0985,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,35
pilot_0320,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,35
pilot_1369,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,35
pilot_0476,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,35
pilot_1292,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,32
pilot_0341,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,58
pilot_1350,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,45
pilot_0696,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_1135,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,68
pilot_0401,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_1418,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,32
pilot_1237,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,35
pilot_0666,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,35
pilot_0933,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,32
pilot_0651,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_1200,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,45
pilot_0778,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,35
pilot_1393,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,72
pilot_0657,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_1103,Qwen/Qwen2.5-72B-Instruct-Turbo,llama,False,92
pilot_1294,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,35
pilot_0646,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,40
pilot_0715,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,32
pilot_1156,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,92
pilot_0820,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,35
pilot_1274,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,35
pilot_0303,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,35
pilot_0311,Qwen/Qwen2.5-72B-Instruct-Turbo,llama,False,35
pilot_1430,Qwen/Qwen2.5-72B-Instruct-Turbo,llama,False,35
pilot_0867,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,35
pilot_1232,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
